KARTE_QUAD,KARTE,QUADRANT,XLU,YLU,XRU,YRU,XRO,YRO,XLO,YLO,XQMITTE,YQMITTE,FLAECHE,FLAECHE_BY,PROZENT
80362,8036,2,4481328,5312360,4487552,5312340,4487563,5317898,4481346,5317919,4484445,5315128,34581935.788,34581935.7884,100
80363,8036,3,4475079,5306821,4481310,5306801,4481328,5312360,4475104,5312381,4478203,5309590,34615422.198,34615422.1984,100
80364,8036,4,4481310,5306801,4487539,5306780,4487552,5312340,4481328,5312360,4484433,5309569,34615316.653,34615316.6526,100
80371,8037,1,4487552,5312340,4493777,5312333,4493783,5317893,4487563,5317898,4490669,5315115,34581750.065,34581750.0647,100
80372,8037,2,4493777,5312333,4500001,5312327,4500000,5317885,4493783,5317893,4496887,5315108,34581709.728,34581709.728,100
80373,8037,3,4487539,5306780,4493771,5306775,4493777,5312333,4487552,5312340,4490657,5309556,34615117.002,34615117.0019,100
80374,8037,4,4493771,5306775,4500000,5306767,4500001,5312327,4493777,5312333,4496887,5309549,34615076.665,34615076.665,100
80381,8038,1,4500001,5312327,4506225,5312333,4506219,5317893,4500000,5317885,4503112,5315108,34581709.728,34581709.728,100
80382,8038,2,4506225,5312333,4512449,5312340,4512436,5317898,4506219,5317893,4509330,5315115,34581750.065,34581750.0647,100
80383,8038,3,4500000,5306767,4506231,5306775,4506225,5312333,4500001,5312327,4503112,5309549,34615076.665,34615076.6651,100
80384,8038,4,4506231,5306775,4512460,5306780,4512449,5312340,4506225,5312333,4509342,5309556,34615117.002,34615117.0019,100
80391,8039,1,4512449,5312340,4518673,5312360,4518655,5317919,4512436,5317898,4515554,5315128,34581935.788,34581935.7884,100
80392,8039,2,4518673,5312360,4524897,5312381,4524872,5317938,4518655,5317919,4521772,5315148,34582041.334,34582041.3342,100
80393,8039,3,4512460,5306780,4518691,5306801,4518673,5312360,4512449,5312340,4515566,5309569,34615316.653,34615316.6526,100
80394,8039,4,4518691,5306801,4524920,5306821,4524897,5312381,4518673,5312360,4521796,5309590,34615422.198,34615422.1984,100
80401,8040,1,4524897,5312381,4531121,5312414,4531091,5317973,4524872,5317938,4527996,5315175,34582438.922,34582438.9219,100
80402,8040,2,4531121,5312414,4537345,5312448,4537308,5318006,4531091,5317973,4534214,5315209,34582594.085,34582594.0849,100
80403,8040,3,4524920,5306821,4531151,5306855,4531121,5312414,4524897,5312381,4528020,5309617,34615819.906,34615819.9062,100
80404,8040,4,4531151,5306855,4537380,5306888,4537345,5312448,4531121,5312414,4534250,5309650,34615975.069,34615975.0692,100
80411,8041,1,4537345,5312448,4543569,5312495,4543527,5318054,4537308,5318006,4540438,5315250,34583183.388,34583183.3879,100
80412,8041,2,4543569,5312495,4549793,5312542,4549744,5318100,4543527,5318054,4546656,5315297,34583419.141,34583419.1406,100
